Book,Chapter,Verse,Siglum,Note heading,Recovered attribution,OCR volume,OCR source,Locator,Verification basis,Confidence
Matthew,27,8,c,Haceldama.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 27:8, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,27,24,d,Washed his hands.,St. Leo the Great,Tome I,novotestamentotr01pere.pdf,"Matthew 27:24, note d",The OCR note explicitly attributes the interpretation to St. Leo the Great.,High
Matthew,27,26,e,Having scourged Jesus.,St. Jerome; St. Augustine,Tome I,novotestamentotr01pere.pdf,"Matthew 27:26, note e",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Matthew,27,33,f,The place of Calvary.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 27:33, note f",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,27,45,g,From the sixth hour.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 27:45, note g",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Matthew,28,1,a,In the end of the sabbath.,Pereira,Tome I,novotestamentotr01pere.pdf,"Matthew 28:1, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,1,26,c,Went out of him.,St. Gregory the Great,Tome I,novotestamentotr01pere.pdf,"Mark 1:26, note c",The OCR note explicitly attributes the interpretation to St. Gregory the Great.,High
Mark,7,24,c,And he could not be hid.,Amelote; Duhamel,Tome I,novotestamentotr01pere.pdf,"Mark 7:24, note c",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Mark,8,16,b,Because we have no bread.,Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 8:16, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,12,42,c,Which make a farthing.,Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 12:42, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,13,1,a,What manner of stones.,Saci; Calmet,Tome I,novotestamentotr01pere.pdf,"Mark 13:1, note a",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Mark,14,26,d,When they had said a hymn.,Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 14:26, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,14,51,f,A certain young man.,Amelote; Saci,Tome I,novotestamentotr01pere.pdf,"Mark 14:51, note f",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Mark,16,1,a,"That coming, they might anoint Jesus.",Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 16:1, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,16,9,b,Out of whom he had cast seven devils.,Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 16:9, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Mark,16,20,d,Confirming the word with signs that followed.,Pereira,Tome I,novotestamentotr01pere.pdf,"Mark 16:20, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,1,1,a,"That have undertaken to write, &c.",Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 1:1, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,2,14,a,Whom he loveth.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 2:14, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,6,6,b,On another sabbath.,Duhamel; Calmet,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 6:6, note b",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Luke,6,29,d,Offer also the other.,St. Augustine; St. Thomas Aquinas,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 6:29, note d",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Luke,6,31,e,"And treat other men in the same manner, &c.",Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 6:31, note e",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,7,37,e,A woman of scandalous life.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 7:37, note e",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,9,20,a,The Christ of God.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 9:20, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,14,23,b,Compel them to come in.,Amelote,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 14:23, note b",The OCR note explicitly attributes the interpretation to Amelote.,High
Luke,14,26,c,"And hateth not his father, &c.",Bossuet; St. Gregory the Great; Venerable Bede,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 14:26, note c",The OCR note explicitly names these authorities as the sources of the interpretation.,High
Luke,20,16,a,God forbid.,Duhamel,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 20:16, note a",The OCR note explicitly attributes the interpretation to Duhamel.,High
Luke,20,35,b,Worthy of that world.,Calmet,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 20:35, note b",The OCR note explicitly attributes the interpretation to Calmet.,High
Luke,22,32,h,That thy faith fail not.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 22:32, note h",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,22,36,i,And buy a sword.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 22:36, note i",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Luke,24,1,a,But on the first day of the week.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"Luke 24:1, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
John,5,43,e,"If another come, etc.",Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 5:43, note e",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
John,8,28,d,Lifted up.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 8:28, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
John,14,5,a,"We know not, etc.",St. Augustine,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 14:5, note a",The OCR note explicitly attributes the interpretation to St. Augustine.,High
John,14,6,b,But by me.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 14:6, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
John,15,3,a,"By reason of the word, etc.",St. Augustine,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 15:3, note a",The OCR note explicitly attributes the interpretation to St. Augustine.,High
John,19,13,b,Called Lithostrotos.,Pereira,Tome II,O_Novo_Testamento_de_Jesu_Christo_traduz.pdf,"John 19:13, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,7,16,b,Which Abraham bought of the sons of Hemor.,Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 7:16, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,8,2,a,Devout men took order for Stephen's funeral.,Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 8:2, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,8,9,b,A certain man named Simon.,Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 8:9, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,8,27,d,"Candace, queen of the Ethiopians.",Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 8:27, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,10,4,c,Ascended for a memorial.,St. Augustine,Tome III,novotestamentotr03pere.pdf,"Acts 10:4, note c",The OCR note explicitly attributes the interpretation to St. Augustine.,High
Acts,12,12,b,"The house of Mary the mother of John, who was surnamed Mark.",Fromond,Tome III,novotestamentotr03pere.pdf,"Acts 12:12, note b",The OCR note explicitly attributes the interpretation to Fromond.,High
Acts,12,22,d,"It is the voice of a god, and not of a man.",Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 12:22, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,14,11,b,"They called Barnabas, Jupiter; but Paul, Mercury.",Calmet,Tome III,novotestamentotr03pere.pdf,"Acts 14:11, note b",The OCR note explicitly attributes the interpretation to Calmet.,High
Acts,26,20,d,Doing works worthy of penance.,Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 26:20, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,28,11,a,Whose sign was the Castors.,Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 28:11, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Acts,28,15,b,"As far as Appii Forum, and the Three Taverns.",Pereira,Tome III,novotestamentotr03pere.pdf,"Acts 28:15, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,1,20,b,The invisible things of him are clearly seen.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 1:20, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,2,14,b,Do by nature those things that are of the law.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 2:14, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,7,14,b,"But I am carnal, sold under sin.",Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 7:14, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,7,19,d,"For the good which I will, I do not; but the evil which I will not, that I do.",Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 7:19, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,8,1,a,There is now therefore no condemnation to them that are in Christ Jesus.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 8:1, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,9,11,b,"That the purpose of God, according to election, might stand.",Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 9:11, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,9,12,c,The elder shall serve the younger.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 9:12, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,10,4,b,For Christ is the end of the law.,Estius,Tome III,novotestamentotr03pere.pdf,"Romans 10:4, note b",The OCR note explicitly attributes the interpretation to Estius.,High
Romans,10,19,c,By that which is not a nation.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 10:19, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,12,3,b,Not to be more wise than it behoveth to be wise.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 12:3, note b","No separately signed printed note was found at this verse in the OCR; the concise gloss follows the wording and editorial voice of Pereira’s volume, so it is identified as Pereira rather than left anonymous.",Moderate
Romans,14,5,c,For one judgeth between day and day.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 14:5, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Romans,16,26,d,According to the revelation of the mystery... made manifest by the scriptures of the prophets.,Pereira,Tome III,novotestamentotr03pere.pdf,"Romans 16:26, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,3,9,d,We are God's coadjutors.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 3:9, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,4,6,b,Above that which is written.,St. John Chrysostom,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 4:6, note b",The OCR note explicitly attributes the interpretation to St. John Chrysostom.,High
1 Corinthians,6,12,c,"All things are lawful to me, but all things are not expedient.",St. Thomas Aquinas,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 6:12, note c",The OCR note explicitly attributes the interpretation to St. Thomas Aquinas.,High
1 Corinthians,7,26,d,I think therefore that this is good for the present necessity.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 7:26, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,11,10,d,Because of the angels.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 11:10, note d",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,11,15,f,It is a glory to her.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 11:15, note f",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,11,20,h,It is not now to eat the Lord's supper.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 11:20, note h",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,14,16,c,"How shall he... say, Amen, to thy blessing?",Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 14:16, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,15,5,a,And after that by the eleven.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 15:5, note a",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
1 Corinthians,15,10,c,I have laboured more abundantly than all they.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"1 Corinthians 15:10, note c",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
2 Corinthians,5,3,b,"Yet so that we be found clothed, not naked.",Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"2 Corinthians 5:3, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
2 Corinthians,6,11,a,Our heart is enlarged.,Saci,Tome IV,Internet Archive: novotestamentotr04pere,"2 Corinthians 6:11, note a",The OCR note explicitly attributes the interpretation to Saci.,High
Galatians,2,9,b,"James, and Cephas, and John.",Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"Galatians 2:9, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
Galatians,3,19,b,In the hand of a mediator.,Pereira,Tome IV,Internet Archive: novotestamentotr04pere,"Galatians 3:19, note b",The OCR note closes with Pereira’s attribution or is printed as his signed synthesis.,High
